hogar_id,survey_wave,income_q,d_income_ratio,d_wealth_ratio,adj_ratio,pesoEFHU
,1.0,3.0,0.0,0.0,,5.0
,1.0,3.0,0.0,0.0,,65.0
,1.0,3.0,0.0,0.0,,65.0
,1.0,4.0,3.6664383,0.77941179,,9.0
,1.0,4.0,0.52988547,0.20689656,,80.0
,1.0,4.0,0.52988547,0.20689656,,80.0
,1.0,1.0,,,,47.0
,1.0,5.0,2.3398612,0.65671641,,83.0
,1.0,5.0,2.3398612,0.65671641,,83.0
,1.0,5.0,2.3398612,0.65671641,,83.0
,1.0,4.0,3.9690061,0.97974217,,92.0
,1.0,4.0,3.9690061,0.97974217,,92.0
,1.0,4.0,3.9690061,0.97974217,,92.0
,1.0,4.0,3.9690061,0.97974217,,92.0
,1.0,4.0,4.0351343,0.97872341,,104.0
,1.0,4.0,4.0351343,0.97872341,,104.0
,1.0,4.0,4.0351343,0.97872341,,104.0
,1.0,5.0,3.009027,0.75594491,,70.0
,1.0,5.0,3.009027,0.75594491,,70.0
,1.0,5.0,0.28708497,0.36363637,,99.0
,1.0,5.0,0.28708497,0.36363637,,99.0
,1.0,5.0,0.28708497,0.36363637,,99.0
,1.0,5.0,0.28708497,0.36363637,,99.0
,1.0,5.0,0.28708497,0.36363637,,99.0
,1.0,5.0,0.28708497,0.36363637,,99.0
,1.0,5.0,2.1571429,0.75594491,,1.0
,1.0,5.0,2.1571429,0.75594491,,1.0
,1.0,1.0,,,,73.0
,1.0,1.0,,,,73.0
,1.0,4.0,0.0,0.0,,77.0
,1.0,4.0,0.0,0.0,,77.0
,1.0,5.0,1.8591653,0.92436975,,85.0
,1.0,5.0,1.8591653,0.92436975,,85.0
,1.0,5.0,1.8591653,0.92436975,,85.0
,1.0,5.0,1.8591653,0.92436975,,85.0
,1.0,5.0,1.3857143,0.9260143,,103.0
,1.0,5.0,1.3857143,0.9260143,,103.0
,1.0,5.0,1.3857143,0.9260143,,103.0
,1.0,5.0,1.3857143,0.9260143,,103.0
,1.0,4.0,2.9457815,0.95959598,,128.0
,1.0,4.0,2.9457815,0.95959598,,128.0
,1.0,4.0,2.9457815,0.95959598,,128.0
,1.0,5.0,0.32787004,0.27777779,,92.0
,1.0,5.0,0.13620512,0.18181819,,47.0
,1.0,5.0,0.13620512,0.18181819,,47.0
,1.0,5.0,0.13620512,0.18181819,,47.0
,1.0,5.0,0.13620512,0.18181819,,47.0
,1.0,5.0,0.28928572,0.26045015,,1.0
,1.0,5.0,0.28928572,0.26045015,,1.0
,1.0,5.0,0.28928572,0.26045015,,1.0
,1.0,5.0,0.28928572,0.26045015,,1.0
,1.0,5.0,2.5353107,0.74647886,,102.0
,1.0,5.0,2.5353107,0.74647886,,102.0
,1.0,5.0,2.5353107,0.74647886,,102.0
,1.0,5.0,2.5353107,0.74647886,,102.0
,1.0,3.0,8.0303831,0.90598291,,71.0
,1.0,3.0,8.0303831,0.90598291,,71.0
,1.0,5.0,2.1571429,0.88304096,,80.0
,1.0,5.0,2.1571429,0.88304096,,80.0
,1.0,5.0,1.5,0.83999997,,1.0
,1.0,5.0,1.5,0.83999997,,1.0
,1.0,5.0,1.5,0.83999997,,1.0
,1.0,5.0,1.5,0.83999997,,1.0
,1.0,5.0,0.11568473,0.11363637,,242.0
,1.0,5.0,0.11568473,0.11363637,,242.0
,1.0,5.0,0.11568473,0.11363637,,242.0
,1.0,5.0,0.11568473,0.11363637,,242.0
,1.0,5.0,2.1428571,0.72289157,,80.0
,1.0,5.0,2.1428571,0.72289157,,80.0
,1.0,5.0,2.1571429,0.79473686,,1.0
,1.0,5.0,2.1571429,0.79473686,,1.0
,1.0,5.0,2.1571429,0.79473686,,1.0
,1.0,4.0,1.509101,0.94186044,,45.0
,1.0,4.0,1.509101,0.94186044,,45.0
,1.0,5.0,0.14795558,0.12878788,,73.0
,1.0,5.0,0.14795558,0.12878788,,73.0
,1.0,5.0,0.14795558,0.12878788,,73.0
,1.0,5.0,0.14795558,0.12878788,,73.0
,1.0,5.0,0.14795558,0.12878788,,73.0
,1.0,5.0,1.710961,0.69072163,,46.0
,1.0,5.0,1.710961,0.69072163,,46.0
,1.0,5.0,2.1571429,0.88304096,,98.0
,1.0,5.0,2.1571429,0.88304096,,98.0
,1.0,5.0,2.1571429,0.88304096,,98.0
,1.0,5.0,2.1571429,0.88304096,,98.0
,1.0,4.0,6.2917533,0.79473686,,85.0
,1.0,4.0,6.2917533,0.79473686,,85.0
,1.0,5.0,2.1428571,0.95238096,,102.0
,1.0,5.0,2.1428571,0.95238096,,102.0
,1.0,5.0,2.1428571,0.95238096,,102.0
,1.0,5.0,2.1428571,0.95238096,,102.0
,1.0,3.0,0.0,0.0,,60.0
,1.0,3.0,0.0,0.0,,60.0
,1.0,5.0,2.1571429,0.72422063,,1.0
,1.0,5.0,2.1571429,0.72422063,,1.0
,1.0,4.0,0.16785611,0.15873016,,21.0
,1.0,5.0,2.2987778,0.75043029,,56.0
,1.0,5.0,2.1571429,0.79473686,,1.0
,1.0,5.0,2.1571429,0.79473686,,1.0
,1.0,5.0,2.1571429,0.79473686,,1.0
,1.0,5.0,1.7754836,0.72795498,,74.0
,1.0,5.0,1.7754836,0.72795498,,74.0
,1.0,4.0,2.2374988,0.83287674,,29.0
,1.0,5.0,0.26666668,0.20689656,,64.0
,1.0,5.0,0.26666668,0.20689656,,64.0
,1.0,5.0,3.6276419,0.75594491,,71.0
,1.0,5.0,1.7997396,0.5714286,,74.0
,1.0,5.0,1.7997396,0.5714286,,74.0
,1.0,5.0,1.7997396,0.5714286,,74.0
,1.0,3.0,0.20125309,0.13157895,,80.0
,1.0,3.0,0.20125309,0.13157895,,80.0
,1.0,5.0,0.94215286,0.77241379,,44.0
,1.0,5.0,0.94215286,0.77241379,,44.0
,1.0,5.0,0.94215286,0.77241379,,44.0
,1.0,5.0,0.94215286,0.77241379,,44.0
,1.0,5.0,1.4785714,0.79768789,,83.0
,1.0,5.0,1.4785714,0.79768789,,83.0
,1.0,5.0,1.4785714,0.79768789,,83.0
,1.0,5.0,1.4785714,0.79768789,,83.0
,1.0,4.0,1.6129154,0.81871343,,78.0
,1.0,4.0,3.6363637,0.74074072,,78.0
,1.0,4.0,3.6363637,0.74074072,,78.0
,1.0,4.0,1.8376963,0.60000002,,50.0
,1.0,4.0,0.19320489,0.52941179,,106.0
,1.0,4.0,0.19320489,0.52941179,,106.0
,1.0,5.0,0.13422878,0.21052632,,66.0
,1.0,5.0,0.13422878,0.21052632,,66.0
,1.0,5.0,0.21428572,0.27777779,,1.0
,1.0,5.0,0.21428572,0.27777779,,1.0
,1.0,5.0,2.9004159,0.79473686,,56.0
,1.0,5.0,2.9004159,0.79473686,,56.0
,1.0,5.0,3.007364,0.9192825,,72.0
,1.0,5.0,3.007364,0.9192825,,72.0
,1.0,5.0,0.25,0.23333333,,75.0
,1.0,1.0,,,,84.0
,1.0,4.0,0.96319419,0.75,,344.0
,1.0,4.0,0.96319419,0.75,,344.0
,1.0,4.0,0.96319419,0.75,,344.0
,1.0,5.0,1.6071428,0.8035714,,1.0
,1.0,5.0,1.6071428,0.8035714,,1.0
,1.0,5.0,1.6071428,0.8035714,,1.0
,1.0,1.0,,,,81.0
,1.0,4.0,1.1320754,0.79470199,,78.0
,1.0,4.0,1.1320754,0.79470199,,78.0
,1.0,4.0,2.2170429,0.67484665,,119.0
,1.0,4.0,2.2170429,0.67484665,,119.0
,1.0,4.0,2.2170429,0.67484665,,119.0
,1.0,4.0,1.8188438,0.85349715,,62.0
,1.0,4.0,1.8188438,0.85349715,,62.0
,1.0,4.0,1.8188438,0.85349715,,62.0
,1.0,4.0,1.8188438,0.85349715,,62.0
,1.0,3.0,2.8163769,0.75999999,,54.0
,1.0,3.0,2.8163769,0.75999999,,54.0
,1.0,5.0,2.1571429,0.75594491,,558.0
,1.0,5.0,2.1571429,0.75594491,,558.0
,1.0,4.0,1.3483146,0.68085104,,43.0
,1.0,3.0,0.0,0.0,,51.0
,1.0,5.0,0.15983476,0.16129032,,76.0
,1.0,5.0,0.15983476,0.16129032,,76.0
,1.0,5.0,0.15983476,0.16129032,,76.0
,1.0,3.0,6.1309152,0.72972971,,38.0
,1.0,1.0,,,,30.0
,1.0,3.0,14.228053,0.62046206,,13.0
,1.0,5.0,0.041045979,0.055555556,,20.0
,1.0,5.0,0.041045979,0.055555556,,20.0
,1.0,5.0,0.041045979,0.055555556,,20.0
,1.0,3.0,5.8378544,0.640625,,9.0
,1.0,3.0,5.8378544,0.640625,,9.0
,1.0,3.0,6.6463199,1.0,,76.0
,1.0,3.0,6.6463199,1.0,,76.0
,1.0,3.0,9.151515,0.72422063,,73.0
,1.0,3.0,9.151515,0.72422063,,73.0
,1.0,5.0,1.8928572,0.96363634,,1.0
,1.0,5.0,1.8928572,0.96363634,,1.0
,1.0,4.0,0.060933948,0.16216215,,76.0
,1.0,4.0,0.060933948,0.16216215,,76.0
,1.0,4.0,0.060933948,0.16216215,,76.0
,1.0,1.0,,,,167.0
,1.0,1.0,,,,232.0
,1.0,1.0,,,,242.0
,1.0,1.0,,,,242.0
,1.0,1.0,,,,242.0
,1.0,1.0,,,,242.0
,1.0,1.0,,,,413.0
,1.0,1.0,,,,317.0
,1.0,1.0,,,,317.0
,1.0,1.0,,,,317.0
,1.0,1.0,,,,341.0
,1.0,1.0,,,,347.0
,1.0,1.0,,,,347.0
,1.0,1.0,,,,288.0
,1.0,1.0,,,,331.0
,1.0,1.0,,,,312.0
,1.0,1.0,,,,382.0
,1.0,1.0,,,,290.0
,1.0,1.0,,,,269.0
,1.0,1.0,,,,322.0
,1.0,1.0,,,,289.0
,1.0,1.0,,,,210.0
,1.0,1.0,,,,230.0
,1.0,1.0,,,,285.0
,1.0,1.0,,,,285.0
,1.0,1.0,,,,222.0
,1.0,1.0,,,,222.0
,1.0,1.0,,,,175.0
,1.0,1.0,,,,175.0
,1.0,1.0,,,,175.0
,1.0,1.0,,,,224.0
,1.0,1.0,,,,224.0
,1.0,1.0,,,,224.0
,1.0,1.0,,,,180.0
,1.0,1.0,,,,246.0
,1.0,1.0,,,,249.0
,1.0,1.0,,,,249.0
,1.0,1.0,,,,193.0
,1.0,1.0,,,,193.0
,1.0,1.0,,,,193.0
,1.0,1.0,,,,233.0
,1.0,1.0,,,,233.0
,1.0,1.0,,,,195.0
,1.0,1.0,,,,195.0
,1.0,1.0,,,,195.0
,1.0,1.0,,,,303.0
,1.0,1.0,,,,303.0
,1.0,1.0,,,,362.0
,1.0,1.0,,,,362.0
,1.0,1.0,,,,253.0
,1.0,1.0,,,,257.0
,1.0,1.0,,,,257.0
,1.0,1.0,,,,327.0
,1.0,1.0,,,,327.0
,1.0,1.0,,,,289.0
,1.0,1.0,,,,289.0
,1.0,1.0,,,,407.0
,1.0,1.0,,,,407.0
,1.0,1.0,,,,463.0
,1.0,1.0,,,,463.0
,1.0,1.0,,,,337.0
