survey_wave,total_savings_final,durables_final,hogar_id,pesoEFHU,household_income_q,income_q,d_income_ratio,d_wealth_ratio,adj_ratio
1,10000,0,,5,5024.9507,4,0,0,
1,5500,0,,65,2557.4009,3,0,0,
1,5500,0,,65,2557.4009,3,0,0,
1,45000,159000,,9,6504.9502,4,24.442923,.77941179,
1,115000,30000,,80,8492.4014,4,3.5325696,.20689656,
1,115000,30000,,80,8492.4014,4,3.5325696,.20689656,
1,,8000,,47,0,1,,,
1,115000,220000,,83,14103.4,5,15.599075,.65671641,
1,115000,220000,,83,14103.4,5,15.599075,.65671641,
1,115000,220000,,83,14103.4,5,15.599075,.65671641,
1,5500,266000,,92,10052.895,5,26.460041,.97974217,
1,5500,266000,,92,10052.895,5,26.460041,.97974217,
1,5500,266000,,92,10052.895,5,26.460041,.97974217,
1,5500,266000,,92,10052.895,5,26.460041,.97974217,
1,5000,230000,,104,8549.9014,4,26.900896,.97872341,
1,5000,230000,,104,8549.9014,4,26.900896,.97872341,
1,5000,230000,,104,8549.9014,4,26.900896,.97872341,
1,97500,302000,,70,15054.701,5,20.060179,.75594491,
1,97500,302000,,70,15054.701,5,20.060179,.75594491,
1,52500,30000,,99,15674.802,5,1.9138998,.36363637,
1,52500,30000,,99,15674.802,5,1.9138998,.36363637,
1,52500,30000,,99,15674.802,5,1.9138998,.36363637,
1,52500,30000,,99,15674.802,5,1.9138998,.36363637,
1,52500,30000,,99,15674.802,5,1.9138998,.36363637,
1,52500,30000,,99,15674.802,5,1.9138998,.36363637,
1,97500,302000,,1,21000,5,14.380953,.75594491,
1,97500,302000,,1,21000,5,14.380953,.75594491,
1,,8000,,73,0,1,,,
1,,8000,,73,0,1,,,
1,5500,0,,77,8474.9512,4,0,0,
1,5500,0,,77,8474.9512,4,0,0,
1,18000,220000,,85,17749.9,5,12.394436,.92436975,
1,18000,220000,,85,17749.9,5,12.394436,.92436975,
1,18000,220000,,85,17749.9,5,12.394436,.92436975,
1,18000,220000,,85,17749.9,5,12.394436,.92436975,
1,15500,194000,,103,21000,5,9.2380953,.9260143,
1,15500,194000,,103,21000,5,9.2380953,.9260143,
1,15500,194000,,103,21000,5,9.2380953,.9260143,
1,15500,194000,,103,21000,5,9.2380953,.9260143,
1,8000,190000,,128,9674.8516,4,19.638544,.95959598,
1,8000,190000,,128,9674.8516,4,19.638544,.95959598,
1,8000,190000,,128,9674.8516,4,19.638544,.95959598,
1,78000,30000,,92,13724.951,5,2.1858001,.27777779,
1,45000,10000,,47,11012.802,5,.90803415,.18181819,
1,45000,10000,,47,11012.802,5,.90803415,.18181819,
1,45000,10000,,47,11012.802,5,.90803415,.18181819,
1,45000,10000,,47,11012.802,5,.90803415,.18181819,
1,115000,40500,,1,21000,5,1.9285715,.26045015,
1,115000,40500,,1,21000,5,1.9285715,.26045015,
1,115000,40500,,1,21000,5,1.9285715,.26045015,
1,115000,40500,,1,21000,5,1.9285715,.26045015,
1,90000,265000,,102,15678.552,5,16.902071,.74647886,
1,90000,265000,,102,15678.552,5,16.902071,.74647886,
1,90000,265000,,102,15678.552,5,16.902071,.74647886,
1,90000,265000,,102,15678.552,5,16.902071,.74647886,
1,40000,302000,,80,21000,5,14.380953,.88304096,
1,40000,302000,,80,21000,5,14.380953,.88304096,
1,40000,210000,,1,21000,5,10,.83999997,
1,40000,210000,,1,21000,5,10,.83999997,
1,40000,210000,,1,21000,5,10,.83999997,
1,40000,210000,,1,21000,5,10,.83999997,
1,78000,10000,,242,12966.274,5,.77123153,.11363637,
1,78000,10000,,242,12966.274,5,.77123153,.11363637,
1,78000,10000,,242,12966.274,5,.77123153,.11363637,
1,78000,10000,,242,12966.274,5,.77123153,.11363637,
1,115000,300000,,80,21000,5,14.285714,.72289157,
1,115000,300000,,80,21000,5,14.285714,.72289157,
1,78000,302000,,1,21000,5,14.380953,.79473686,
1,78000,302000,,1,21000,5,14.380953,.79473686,
1,78000,302000,,1,21000,5,14.380953,.79473686,
1,5000,81000,,45,8051.1509,4,10.060674,.94186044,
1,5000,81000,,45,8051.1509,4,10.060674,.94186044,
1,115000,17000,,73,17234.902,5,.98637056,.12878788,
1,115000,17000,,73,17234.902,5,.98637056,.12878788,
1,115000,17000,,73,17234.902,5,.98637056,.12878788,
1,115000,17000,,73,17234.902,5,.98637056,.12878788,
1,115000,17000,,73,17234.902,5,.98637056,.12878788,
1,90000,201000,,46,17621.676,5,11.406406,.69072163,
1,90000,201000,,46,17621.676,5,11.406406,.69072163,
1,40000,302000,,98,21000,5,14.380953,.88304096,
1,40000,302000,,98,21000,5,14.380953,.88304096,
1,40000,302000,,98,21000,5,14.380953,.88304096,
1,40000,302000,,98,21000,5,14.380953,.88304096,
1,78000,302000,,85,7199.9009,4,41.945023,.79473686,
1,78000,302000,,85,7199.9009,4,41.945023,.79473686,
1,15000,300000,,102,21000,5,14.285714,.95238096,
1,15000,300000,,102,21000,5,14.285714,.95238096,
1,15000,300000,,102,21000,5,14.285714,.95238096,
1,15000,300000,,102,21000,5,14.285714,.95238096,
1,30500,0,,60,3020.0386,3,0,0,
1,30500,0,,60,3020.0386,3,0,0,
1,115000,302000,,1,21000,5,14.380953,.72422063,
1,115000,302000,,1,21000,5,14.380953,.72422063,
1,53000,10000,,21,8936.2256,4,1.1190407,.15873016,
1,72500,218000,,56,14224.95,5,15.325186,.75043029,
1,78000,302000,,1,21000,5,14.380953,.79473686,
1,78000,302000,,1,21000,5,14.380953,.79473686,
1,78000,302000,,1,21000,5,14.380953,.79473686,
1,72500,194000,,74,16389.9,5,11.836557,.72795498,
1,72500,194000,,74,16389.9,5,11.836557,.72795498,
1,30500,152000,,29,10189.95,5,14.916657,.83287674,
1,115000,30000,,64,16875,5,1.7777778,.20689656,
1,115000,30000,,64,16875,5,1.7777778,.20689656,
1,97500,302000,,71,12487.451,5,24.184278,.75594491,
1,97500,130000,,74,10834.9,5,11.998264,.5714286,
1,97500,130000,,74,10834.9,5,11.998264,.5714286,
